id,classification
2384,PEGI +12
2386,PEGI +12
2388,None
2391,PEGI +16
2397,None
2407,PEGI +12
2408,PEGI +16
2416,PEGI +3
2422,PEGI +18
2435,PEGI +12
2440,PEGI +7
2441,PEGI +18
2443,PEGI +16
2453,PEGI +12
2459,PEGI +12
2463,None
2468,PEGI +16
2479,PEGI +12
2480,PEGI +16
2483,PEGI +7
2487,None
2490,PEGI +18
2503,PEGI +16
2506,PEGI +12
2510,PEGI +16
2513,None
2518,None
2536,PEGI +12
2541,PEGI +16
2550,None
2551,PEGI +16
2559,PEGI +12
2564,PEGI +3
2568,None
2572,PEGI +3
2574,PEGI +7
2581,PEGI +16
2588,None
2595,None
2612,PEGI +16
2623,PEGI +18
2629,PEGI +16
2639,PEGI +3
2647,PEGI +18
2657,None
2665,PEGI +12
2684,PEGI +7
2686,PEGI +3
2705,PEGI +3
2710,None
2713,PEGI +7
2722,PEGI +12
2733,None
2743,PEGI +18
2749,PEGI +7
2757,None
2767,PEGI +18
2770,PEGI +12
2777,PEGI +7
2778,PEGI +12
2784,None
2792,PEGI +16
2796,PEGI +12
2798,PEGI +12
2802,PEGI +16
2805,PEGI +12
2812,None
2819,PEGI +16
2822,None
2830,PEGI +7
2835,PEGI +7
2838,PEGI +3
2845,None
2848,PEGI +12
2851,None
2852,PEGI +16
2855,PEGI +12
2858,PEGI +7
2860,PEGI +18
2873,PEGI +3
2891,PEGI +3
2894,None
2895,PEGI +7
2898,PEGI +12
2909,PEGI +16
2913,PEGI +16
2918,PEGI +12
2923,PEGI +7
2944,None
2956,PEGI +12
2960,PEGI +7
2968,PEGI +12
2983,None
2987,PEGI +16
2992,PEGI +12
2998,PEGI +18
3004,None
3017,PEGI +18
3054,PEGI +7
3057,PEGI +12
3070,PEGI +18
3085,PEGI +16
3090,PEGI +12
3111,PEGI +16
3117,PEGI +3
3121,PEGI +16
3129,PEGI +12
3131,PEGI +3
3154,PEGI +3
3156,PEGI +12
3163,PEGI +16
3168,PEGI +16
3179,None
3186,PEGI +3
3187,PEGI +7
3188,PEGI +16
3189,None
3191,PEGI +18
3199,PEGI +12
3200,PEGI +12
3209,PEGI +18
3214,None
3223,PEGI +16
3226,PEGI +18
3228,PEGI +12
3234,PEGI +3
3243,PEGI +12
3244,PEGI +16
3251,PEGI +3
3252,None
3253,None
3254,PEGI +7
3255,PEGI +16
3263,PEGI +16
3268,None
3272,PEGI +3
3275,PEGI +7
3278,PEGI +12
3282,None
3287,PEGI +16
3290,None
3291,PEGI +12
3294,PEGI +7
3299,PEGI +16
3300,PEGI +18
3301,PEGI +3
3306,PEGI +3
3307,PEGI +7
3315,PEGI +16
3316,PEGI +12
3324,PEGI +12
3325,None
3328,PEGI +18
3344,None
3346,PEGI +18
3350,None
3351,PEGI +3
3352,PEGI +12
3357,PEGI +12
3358,PEGI +16
3363,PEGI +7
3364,PEGI +7
3368,None
3371,PEGI +16
3373,PEGI +12
3377,PEGI +7
3387,PEGI +18
3396,None
3400,PEGI +18
3407,PEGI +12
3408,PEGI +18
3410,PEGI +12
3419,PEGI +12
3421,PEGI +16
3427,PEGI +16
3433,PEGI +16
3436,PEGI +3
3437,PEGI +16
3446,PEGI +12
3449,None
3450,PEGI +16
3459,PEGI +18
3468,None
3469,PEGI +16
3474,PEGI +12
3480,PEGI +18
3481,PEGI +18
3488,PEGI +12
3489,PEGI +12
3496,PEGI +18
3497,PEGI +18
3498,PEGI +18
3501,PEGI +3
3507,PEGI +16
3515,PEGI +3
3525,None
3527,PEGI +16
3530,PEGI +12
3532,PEGI +3
3536,PEGI +3
3538,PEGI +3
3540,PEGI +12
3543,PEGI +18
3548,None
3550,PEGI +3
3554,PEGI +18
3556,PEGI +18
3560,PEGI +3
3565,PEGI +3
3573,PEGI +12
3578,PEGI +16
3579,None
3580,PEGI +3
3584,PEGI +16
3586,PEGI +16
3589,PEGI +12
3594,PEGI +16
3598,PEGI +7
3605,PEGI +18
3608,None
3612,PEGI +18
3615,PEGI +16
3617,PEGI +12
3618,PEGI +7
3625,PEGI +3
3626,PEGI +3
3627,PEGI +7
3628,PEGI +16
3635,PEGI +12
3638,PEGI +12
3639,PEGI +3
3640,PEGI +3
3642,None
3645,PEGI +3
3647,PEGI +7
3679,PEGI +12
3687,PEGI +18
3689,PEGI +18
3696,PEGI +18
3699,PEGI +16
3707,PEGI +16
3715,PEGI +12
3726,PEGI +12
3731,None
3734,None
3738,PEGI +16
3739,PEGI +16
3741,PEGI +16
3748,PEGI +7
3749,PEGI +18
3751,PEGI +16
3756,None
3758,PEGI +12
3759,PEGI +18
3763,PEGI +12
3764,PEGI +12
3766,PEGI +16
3768,PEGI +12
3771,PEGI +7
3775,PEGI +16
3783,PEGI +12
3790,PEGI +18
3796,PEGI +12
3806,PEGI +7
3808,PEGI +12
3818,PEGI +12
3820,PEGI +3
3824,PEGI +12
3829,PEGI +12
3830,PEGI +7
3834,PEGI +12
3835,PEGI +12
3838,PEGI +12
3842,PEGI +18
3847,PEGI +3
3849,PEGI +7
3850,PEGI +7
3854,PEGI +16
3855,PEGI +3
3861,None
3862,PEGI +16
3863,PEGI +18
3872,PEGI +16
3876,PEGI +18
3877,PEGI +12
3879,PEGI +3
3882,PEGI +18
3888,PEGI +3
3891,None
3892,PEGI +18
3900,PEGI +3
3901,PEGI +12
3903,PEGI +3
3911,PEGI +12
3912,None
3923,PEGI +16
3926,PEGI +16
3931,PEGI +18
3932,PEGI +18
3937,PEGI +16
3941,PEGI +12
3943,PEGI +12
3945,PEGI +7
3958,PEGI +12
3965,PEGI +18
3968,PEGI +12
3973,PEGI +12
3976,PEGI +12
3983,PEGI +12
3986,None
3991,PEGI +18
4000,PEGI +16
4002,PEGI +16
4003,PEGI +7
4007,PEGI +12
4012,PEGI +16
4023,PEGI +18
4025,PEGI +16
4026,PEGI +18
4030,PEGI +12
4032,PEGI +18
4046,PEGI +12
4057,PEGI +18
4058,PEGI +18
4059,PEGI +18
4062,PEGI +18
4063,PEGI +16
4064,PEGI +18
4070,PEGI +16
4087,None
4090,PEGI +16
4092,PEGI +12
4101,PEGI +18
4108,PEGI +16
4117,PEGI +18
4123,PEGI +16
4124,PEGI +3
4126,PEGI +18
4132,PEGI +3
4141,PEGI +12
4145,PEGI +18
4154,PEGI +18
4161,PEGI +18
4166,PEGI +18
4179,PEGI +18
4185,PEGI +16
4186,PEGI +16
4187,PEGI +12
4188,PEGI +16
4199,PEGI +7
4200,PEGI +12
4202,None
4206,PEGI +18
4211,PEGI +3
4219,PEGI +18
4223,PEGI +18
4225,PEGI +16
4228,PEGI +16
4229,PEGI +12
4230,PEGI +18
4232,PEGI +12
4234,PEGI +16
4237,None
4246,PEGI +12
4247,PEGI +16
4248,PEGI +18
4252,None
4254,PEGI +12
4267,PEGI +3
4280,PEGI +18
4284,PEGI +3
4286,PEGI +18
4286,None
4291,PEGI +18
4297,PEGI +18
4299,PEGI +16
4302,PEGI +3
4304,PEGI +12
4327,PEGI +7
4331,PEGI +3
4332,PEGI +18
4333,PEGI +3
4347,PEGI +7
4348,PEGI +12
4352,PEGI +3
4356,None
4358,PEGI +18
4361,PEGI +7
4362,PEGI +16
4365,None
4369,PEGI +12
4377,PEGI +3
4380,PEGI +12
4386,PEGI +18
4388,PEGI +16
4391,PEGI +7
4392,None
4397,PEGI +18
4398,PEGI +3
4406,PEGI +18
4410,PEGI +12
4427,None
4429,PEGI +12
4438,PEGI +16
4439,PEGI +18
4440,PEGI +18
4443,PEGI +7
4445,PEGI +12
4447,PEGI +12
4459,None
4459,PEGI +18
4461,PEGI +7
4462,PEGI +3
4466,PEGI +16
4468,PEGI +12
4469,None
4472,PEGI +7
4476,PEGI +7
4477,None
4480,None
4483,PEGI +18
4489,PEGI +16
4494,None
4499,PEGI +12
4511,PEGI +18
4513,None
4514,PEGI +18
4519,PEGI +12
4520,PEGI +18
4521,None
4523,PEGI +18
4527,PEGI +18
4529,PEGI +7
4534,PEGI +7
4535,PEGI +18
4544,PEGI +18
4546,None
4550,PEGI +18
4570,None
4571,PEGI +16
4581,PEGI +16
4583,PEGI +16
4586,PEGI +12
4596,PEGI +7
4599,PEGI +18
4602,PEGI +18
4605,PEGI +7
4611,None
4630,PEGI +16
4639,PEGI +18
4675,PEGI +7
4679,PEGI +16
4686,PEGI +18
4700,None
4729,PEGI +18
4731,None
4744,None
4749,PEGI +18
4751,PEGI +12
4753,None
4767,None
4772,None
4775,PEGI +3
4782,None
4803,None
4806,PEGI +18
4812,None
4813,None
4821,None
4828,PEGI +18
4852,PEGI +18
4853,PEGI +18
4861,PEGI +3
4882,PEGI +12
4893,PEGI +12
4958,PEGI +16
5005,PEGI +3
5055,None
5074,PEGI +3
5075,None
5103,PEGI +3
5107,None
5109,PEGI +3
5114,PEGI +3
5123,None
5132,None
5137,PEGI +18
5143,None
5177,PEGI +12
5187,PEGI +3
5194,PEGI +12
5200,PEGI +18
5205,PEGI +18
5208,PEGI +16
5209,PEGI +12
5215,PEGI +3
5216,PEGI +3
5219,PEGI +12
5222,PEGI +3
5225,None
5231,PEGI +12
5234,PEGI +3
5235,PEGI +3
5243,PEGI +12
5244,PEGI +7
5247,PEGI +7
5248,PEGI +12
5249,None
5250,PEGI +16
5255,PEGI +3
5262,PEGI +16
5263,PEGI +16
5272,PEGI +7
5278,PEGI +7
5279,PEGI +7
5289,None
5298,PEGI +12
5312,None
5313,PEGI +12
5322,None
5326,PEGI +7
5342,None
5343,None
5345,None
5347,None
5350,None
5352,PEGI +7
5358,PEGI +7
5361,PEGI +12
5374,PEGI +12
5377,PEGI +18
5388,PEGI +12
5390,PEGI +3
5394,None
5396,PEGI +12
5397,None
5422,PEGI +12
5452,None
5464,PEGI +7
5492,PEGI +12
5501,None
5506,None
5511,PEGI +18
5512,PEGI +18
5520,PEGI +18
5521,PEGI +16
5522,PEGI +12
5524,PEGI +16
5528,PEGI +16
5529,PEGI +16
5538,PEGI +16
5540,None
5541,PEGI +18
5542,PEGI +16
5544,PEGI +12
5545,PEGI +7
5548,PEGI +12
5559,PEGI +3
5561,PEGI +3
5562,PEGI +18
5563,PEGI +18
5564,None
5567,PEGI +16
5570,PEGI +12
5582,PEGI +18
5587,PEGI +3
5588,PEGI +3
5593,PEGI +12
5601,PEGI +16
5602,PEGI +16
5604,PEGI +18
5605,PEGI +12
5607,PEGI +3
5610,PEGI +18
5617,PEGI +18
5618,PEGI +12
5623,PEGI +18
5628,None
5640,PEGI +16
5641,PEGI +18
5644,None
5649,None
5653,None
5654,PEGI +16
5656,PEGI +7
5664,None
5665,PEGI +18
5671,PEGI +18
5674,None
5675,PEGI +12
5677,None
5678,PEGI +16
5679,PEGI +18
5681,PEGI +16
5684,None
5688,PEGI +16
5695,PEGI +3
5699,None
5702,PEGI +16
5705,PEGI +16
5706,PEGI +16
5708,PEGI +3
5709,None
5715,PEGI +12
5717,PEGI +12
5718,PEGI +12
5737,None
5778,PEGI +16
5783,PEGI +3
5793,PEGI +12
5886,None
5888,PEGI +3
5923,PEGI +16
5933,None
5978,None
5985,None
5995,None
6029,None
6138,PEGI +12
6156,None
6315,PEGI +12
6339,None
6382,None
6399,None
6400,None
6459,None
6505,PEGI +12
6509,None
6617,PEGI +16
6625,None
6627,None
6656,PEGI +3
6673,PEGI +12
6725,None
6773,PEGI +16
6819,None
6841,None
6875,None
6879,PEGI +16
6885,PEGI +7
6888,None
6892,None
6929,None
6937,None
6959,PEGI +3
6987,None
7016,None
7041,None
7098,None
7136,None
7141,PEGI +7
7203,None
7241,None
7306,None
7317,PEGI +12
7335,PEGI +3
7375,None
7381,PEGI +7
7439,PEGI +18
7442,None
7483,PEGI +12
7505,None
7536,PEGI +18
7626,None
7649,None
7689,PEGI +18
7696,PEGI +3
7712,PEGI +3
7778,None
7784,None
7819,PEGI +12
7825,None
7860,None
7861,PEGI +7
7940,PEGI +3
7993,None
8098,PEGI +3
8146,PEGI +18
8278,PEGI +18
8300,PEGI +3
8313,None
8347,None
8433,PEGI +16
8444,PEGI +16
8488,PEGI +18
8496,PEGI +3
8586,None
8595,None
8644,None
8694,None
8733,None
8758,None
8763,None
8812,PEGI +7
8870,PEGI +12
9153,PEGI +3
9203,PEGI +3
9210,None
9244,None
9296,None
9341,PEGI +12
9359,None
9441,None
9465,None
9475,None
9485,None
9499,PEGI +7
9502,None
9531,None
9545,PEGI +18
9555,None
9564,PEGI +3
9593,PEGI +12
9598,PEGI +3
9600,PEGI +18
9603,PEGI +7
9612,PEGI +7
9626,None
9644,PEGI +3
9656,PEGI +12
9659,PEGI +18
9671,None
9673,None
9678,PEGI +16
9684,PEGI +3
9728,PEGI +12
9741,PEGI +18
9744,PEGI +7
9765,None
9767,PEGI +7
9771,None
9801,PEGI +16
9810,PEGI +16
9831,PEGI +18
9840,None
9877,None
9891,PEGI +18
9913,None
9953,None
9964,PEGI +16
9966,PEGI +18
10008,PEGI +16
10013,PEGI +3
10020,PEGI +18
10029,PEGI +16
10031,None
10037,None
10039,PEGI +16
10040,PEGI +12
10041,None
10049,None
10053,None
10057,None
10061,PEGI +18
10063,None
10065,None
10068,PEGI +7
10081,None
10088,None
10091,None
10094,PEGI +12
10101,PEGI +7
10108,PEGI +7
10110,PEGI +12
10116,None
10118,PEGI +16
10121,PEGI +16
10125,PEGI +18
10128,PEGI +16
10134,PEGI +12
10157,PEGI +16
10171,PEGI +16
10180,None
10186,None
10201,None
10213,None
10234,None
10243,PEGI +18
10261,PEGI +7
10276,PEGI +7
10295,PEGI +16
10296,PEGI +12
10309,None
10311,None
10315,None
10340,PEGI +16
10354,None
10376,PEGI +16
10377,PEGI +16
10387,PEGI +16
10393,PEGI +16
10401,None
10408,None
10416,None
10419,PEGI +7
10424,PEGI +7
10446,None
10500,None
10505,PEGI +12
10513,None
10514,PEGI +7
10533,None
