platforms
3DO
Android
Apple II
Atari 2600
Atari 5200
Atari 7800
Atari 8-bit
Atari Flashback
Atari Lynx
Atari ST
Atari XEGS
Classic Macintosh
Commodore / Amiga
Dreamcast
Game Boy
Game Boy Advance
Game Boy Color
Game Gear
GameCube
Genesis
Jaguar
Linux
NES
Neo Geo
Nintendo 3DS
Nintendo 64
Nintendo DS
Nintendo DSi
Nintendo Switch
Other
PC
PS Vita
PSP
PlayStation
PlayStation 2
PlayStation 3
PlayStation 4
SEGA 32X
SEGA CD
SEGA Master System
SEGA Saturn
SNES
Web
Wii
Wii U
Xbox
Xbox 360
Xbox One
iOS
mac
macOS
