id,vg_url,photo_url
1244,http://www.vgchartz.com/game/84592/darkest-dungeon/?region=All,http://www.vgchartz.com/games/boxart/full_5606272AmericaFrontccc.jpg
1256,http://www.vgchartz.com/game/85588/xcom-2/?region=All,http://www.vgchartz.com/games/boxart/full_4427391AmericaFrontccc.jpg
1257,http://www.vgchartz.com/game/220448/virginia/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1258,http://www.vgchartz.com/game/72151/counterspy/?region=All,http://www.vgchartz.com/games/boxart/full_55798AmericaFrontccc.jpg
1259,http://www.vgchartz.com/game/50702/machinarium/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1269,http://www.vgchartz.com/game/221593/the-bunker/?region=All,http://www.vgchartz.com/games/boxart/full_6688922AmericaFrontccc.png
1271,http://www.vgchartz.com/game/53217/the-swindle/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1272,http://www.vgchartz.com/game/80085/stealth-inc/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1273,http://www.vgchartz.com/game/129512/tokyo-twilight-ghost-hunters-daybreak-special-gigs/?region=All,http://www.vgchartz.com/games/boxart/full_3046214AmericaFrontccc.jpg
1274,http://www.vgchartz.com/game/82044/cut-the-rope-2/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1281,http://www.vgchartz.com/game/78390/sonic-dash/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1299,http://www.vgchartz.com/game/104765/mount-amp-blade-warband/?region=All,http://www.vgchartz.com/games/boxart/full_4169263PALFrontccc.jpg
1300,http://www.vgchartz.com/game/86045/angry-birds-space/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1303,http://www.vgchartz.com/game/103818/nba-2k17/?region=All,http://www.vgchartz.com/games/boxart/full_1333599AmericaFrontccc.jpg
1311,http://www.vgchartz.com/game/84582/boson-x/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1312,http://www.vgchartz.com/game/85196/the-deer-god/?region=All,http://www.vgchartz.com/games/boxart/full_723688AmericaFrontccc.jpeg
1314,http://www.vgchartz.com/game/121496/bioshock-the-collection/?region=All,http://www.vgchartz.com/games/boxart/full_989675AmericaFrontccc.png
1320,http://www.vgchartz.com/game/483/dead-rising/?region=All,http://www.vgchartz.com/games/boxart/full_3758864AmericaFrontccc.jpg
1322,http://www.vgchartz.com/game/31569/dead-rising-2/?region=All,http://www.vgchartz.com/games/boxart/full_dead-rising-2_9AmericaFront.jpg
1331,http://www.vgchartz.com/game/7035/hot-shots-tennis/?region=All,http://www.vgchartz.com/games/boxart/1511429ccc.jpg
1337,http://www.vgchartz.com/game/43902/mahjong/?region=All,http://www.vgchartz.com/games/boxart/full_mahjong_45AmericaFront.jpg
1343,http://www.vgchartz.com/game/114491/nascar-heat-evolution/?region=All,http://www.vgchartz.com/games/boxart/full_2460529AmericaFrontccc.jpg
1347,http://www.vgchartz.com/game/126532/pro-evolution-soccer-2017/?region=All,http://www.vgchartz.com/games/boxart/full_8089140PALFrontccc.jpg
1352,http://www.vgchartz.com/game/221617/unholy-heights/?region=All,http://www.vgchartz.com/games/boxart/full_5692875AmericaFrontccc.png
1355,http://www.vgchartz.com/game/222324/stardust-galaxy-warriors-stellar-climax/?region=All,http://www.vgchartz.com/games/boxart/full_8805836AmericaFrontccc.png
1356,http://www.vgchartz.com/game/18287/lost-cities/?region=All,http://www.vgchartz.com/games/boxart/full_6277557AmericaFrontccc.jpg
1358,http://www.vgchartz.com/game/220849/papers-please/?region=All,http://www.vgchartz.com/games/boxart/full_2825731AmericaFrontccc.jpg
1361,http://www.vgchartz.com/game/40477/transport-tycoon/?region=All,http://www.vgchartz.com/games/boxart/full_6863387JapanFrontccc.jpg
1366,http://www.vgchartz.com/game/224483/140/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1371,http://www.vgchartz.com/game/130884/just-sing/?region=All,http://www.vgchartz.com/games/boxart/full_5537716AmericaFrontccc.jpg
1373,http://www.vgchartz.com/game/45880/4x4-jam/?region=All,http://www.vgchartz.com/games/boxart/full_4x4-jam_5PALFront.jpg
1374,http://www.vgchartz.com/game/223103/sky-force-anniversary/?region=All,http://www.vgchartz.com/games/boxart/full_4849393AmericaFrontccc.jpeg
1378,http://www.vgchartz.com/game/221910/tower-of-guns/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1382,http://www.vgchartz.com/game/108789/touhou-genso-rondo-bullet-ballet/?region=All,http://www.vgchartz.com/games/boxart/full_7155617AmericaFrontccc.jpg
1391,http://www.vgchartz.com/game/81460/assetto-corsa/?region=All,http://www.vgchartz.com/games/boxart/full_4314817AmericaFrontccc.png
1395,http://www.vgchartz.com/game/85827/attack-on-titan/?region=All,http://www.vgchartz.com/games/boxart/full_702691AmericaFrontccc.jpg
1398,http://www.vgchartz.com/game/222627/pharaonic/?region=All,http://www.vgchartz.com/games/boxart/full_6961666AmericaFrontccc.jpg
1403,http://www.vgchartz.com/game/221208/binaries/?region=All,http://www.vgchartz.com/games/boxart/full_914906AmericaFrontccc.png
1412,http://www.vgchartz.com/game/6208/colin-mcrae-rally/?region=All,http://www.vgchartz.com/games/boxart/1095737ccc.jpg
1416,http://www.vgchartz.com/game/21856/mafia-ii/?region=All,http://www.vgchartz.com/games/boxart/full_mafia-ii_6AmericaFront.jpg
1421,http://www.vgchartz.com/game/83153/one-way-trip/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1430,http://www.vgchartz.com/game/221917/the-final-station/?region=All,http://www.vgchartz.com/games/boxart/full_7574906AmericaFrontccc.jpg
1438,http://www.vgchartz.com/game/84507/alone-with-you/?region=All,http://www.vgchartz.com/games/boxart/full_5630980AmericaFrontccc.png
1442,http://www.vgchartz.com/game/84889/armikrog/?region=All,http://www.vgchartz.com/games/boxart/full_6348299AmericaFrontccc.jpeg
1447,http://www.vgchartz.com/game/85343/deus-ex-mankind-divided/?region=All,http://www.vgchartz.com/games/boxart/full_5071080PALFrontccc.jpg
1450,http://www.vgchartz.com/game/222926/inside/?region=All,http://www.vgchartz.com/games/boxart/full_3817006AmericaFrontccc.png
1451,http://www.vgchartz.com/game/35214/osmos/?region=All,http://www.vgchartz.com/games/boxart/full_5095143AmericaFrontccc.jpg
1454,http://www.vgchartz.com/game/86434/madden-nfl-17/?region=All,http://www.vgchartz.com/games/boxart/full_441184AmericaFrontccc.jpg
1460,http://www.vgchartz.com/game/220870/desktop-dungeons/?region=All,http://www.vgchartz.com/games/boxart/full_6017142AmericaFrontccc.jpg
1463,http://www.vgchartz.com/game/78405/mutant-mudds/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1467,http://www.vgchartz.com/game/77491/rayman-fiesta-run/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1473,http://www.vgchartz.com/game/77707/pocket-mine/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1479,http://www.vgchartz.com/game/82542/letter-quest-grimms-journey/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1492,http://www.vgchartz.com/game/81212/leos-fortune/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1503,http://www.vgchartz.com/game/220839/azkend-2-the-world-beneath/?region=All,http://www.vgchartz.com/games/boxart/full_1729891AmericaFrontccc.png
1505,http://www.vgchartz.com/game/76431/monochroma/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
1506,http://www.vgchartz.com/game/73090/lococycle/?region=All,http://www.vgchartz.com/games/boxart/full_8040623AmericaFrontccc.jpg
1508,http://www.vgchartz.com/game/84157/funk-of-titans/?region=All,http://www.vgchartz.com/games/boxart/full_8389717AmericaFrontccc.jpg
1509,http://www.vgchartz.com/game/223754/electronic-super-joy/?region=All,http://www.vgchartz.com/games/boxart/full_2342527AmericaFrontccc.jpg
1510,http://www.vgchartz.com/game/77912/blocky-roads/?region=All,http://www.vgchartz.com/games/boxart/default.jpg
